id_yt_no;id_yt_var;type_fr;issued;years;title_en;title_fr;value_en;value_fr;color_en;color_fr;description_fr;perforated_dimensions;image
1;;Poste;1850;1849-1850;Ceres;Cérès.;10 French centime;10 c.;Yellow bistre;bistre-jaune;Typographie. Papier teinté.;No;T01-000-1.jpg
1;a;Poste;1850;1849-1850;Ceres;Cérès.;10 French centime;10 c.;Bistre brown;bistre-brun;Typographie. Papier teinté.;No;T01-000-1.jpg
1;b;Poste;1850;1849-1850;;Cérès.;;10 c.;;bistre verdâtre;Typographie. Papier teinté.;No;T01-000-1.jpg
1;c;Poste;1850;1849-1850;;Cérès.;;10 c.;;bistre verdâtre foncé;Typographie. Papier teinté.;No;T01-000-1.jpg
1;d;Poste;1850;1849-1850;;Cérès.;;10 et 10 c.;;bistre-jaune Tête-bêche;Typographie. Papier teinté.;No;T01-000-1.jpg
1;e;Poste;1850;1849-1850;;Cérès.;;10 et 10 c.;;bistre verdâtre Tête-bêche;Typographie. Papier teinté.;No;T01-000-1.jpg
1;f;Poste;1850;1849-1850;;Cérès.;;10 c.;;bistre clair Réimpression;Typographie. Papier teinté.;No;T01-000-1.jpg
2;;Poste;1850;1849-1850;Ceres;Cérès.;15 French centime;15 c.;Green;vert;Typographie. Papier teinté.;No;T01-000-2.jpg
2;a;Poste;1850;1849-1850;;Cérès.;;15 c.;;vert clair;Typographie. Papier teinté.;No;T01-000-2.jpg
2;b;Poste;1850;1849-1850;;Cérès.;;15 c.;;vert foncé;Typographie. Papier teinté.;No;T01-000-2.jpg
2;c;Poste;1850;1849-1850;;Cérès.;;15 c.;;vert très foncé;Typographie. Papier teinté.;No;T01-000-2.jpg
2;d;Poste;1850;1849-1850;;Cérès.;;15 et 15 c.;;vert (sur lettre) Tête-bêche;Typographie. Papier teinté.;No;T01-000-2.jpg
2;e;Poste;1850;1849-1850;;Cérès.;;15 c.;;vert vif clair Réimpression;Typographie. Papier teinté.;No;T01-000-2.jpg
3;;Poste;1849;1849-1850;Ceres;Cérès.;20 French centime;20 c.;Black;noir s. jaune;Typographie. Papier teinté.;No;T01-000-3.jpg
3;a;Poste;1849;1849-1850;Cérés;Cérès.;20 French centime;20 c.;Black;noir s. blanc;Typographie. Papier teinté.;No;T01-000-3.jpg
3;b;Poste;1849;1849-1850;Ceres;Cérès.;20 French centime;20 c.;Black;noir s. chamois;Typographie. Papier teinté.;No;T01-000-3.jpg
3;c;Poste;1849;1849-1850;;Cérès.;;20 c.;;gris-noir;Typographie. Papier teinté.;No;T01-000-3.jpg
3;d;Poste;1849;1849-1850;;Cérès.;;20 et 20 c.;;noir s. jaune Tête-bêche;Typographie. Papier teinté.;No;T01-000-3.jpg
3;e;Poste;1849;1849-1850;;Cérès.;;20 et 20 c.;;noir s. blanc Tête-bêche;Typographie. Papier teinté.;No;T01-000-3.jpg
3;f;Poste;1849;1849-1850;;Cérès.;;20 c.;;noir Réimpression;Typographie. Papier teinté.;No;T01-000-3.jpg
4;;Poste;1850;1849-1850;Ceres;Cérès.;25 French centime;25 c.;Blue;bleu;Typographie. Papier teinté.;No;T01-000-4.jpg
4;a;Poste;1850;1849-1850;Ceres;Cérès.;25 French centime;25 c.;Dark blue;bleu foncé;Typographie. Papier teinté.;No;T01-000-4.jpg
4;b;Poste;1850;1849-1850;;Cérès.;;25 c.;;bleu sur jaune;Typographie. Papier teinté.;No;T01-000-4.jpg
4;c;Poste;1850;1849-1850;;Cérès.;;25 et 25 c.;;bleu Tête-bêche;Typographie. Papier teinté.;No;T01-000-4.jpg
4;d;Poste;1850;1849-1850;;Cérès.;;25 c.;;bleu Réimpression;Typographie. Papier teinté.;No;T01-000-4.jpg
5;;Poste;1850;1849-1850;Ceres;Cérès.;40 French centime;40 c.;Orange;orange;Typographie. Papier teinté.;No;T01-000-5.jpg
5;a;Poste;1850;1849-1850;Ceres;Cérès.;40 French centime;40 c.;Bright orange;orange vif;Typographie. Papier teinté.;No;T01-000-5.jpg
5;b;Poste;1850;1849-1850;;Cérès.;;40 c.;;orange foncé;Typographie. Papier teinté.;No;T01-000-5.jpg
5;c;Poste;1850;1849-1850;;Cérès.;;40 c.;;(gomme brunâtre);Typographie. Papier teinté.;No;T01-000-5.jpg
5;d;Poste;1850;1849-1850;;Cérès.;;40 c.;;orange (4 retouchés);Typographie. Papier teinté.;No;T01-000-5.jpg
5;e;Poste;1850;1849-1850;;Cérès.;;40 c.;;Paire avec un normal (4 retouchés);Typographie. Papier teinté.;No;T01-000-5.jpg
5;f;Poste;1850;1849-1850;;Cérès.;;40 c.;;Paire des deux timbres retouchés (4 retouchés);Typographie. Papier teinté.;No;T01-000-5.jpg
5;g;Poste;1850;1849-1850;;Cérès.;;40 c.;;orange Réimpression;Typographie. Papier teinté.;No;T01-000-5.jpg
5;h;Poste;1850;1849-1850;;Cérès.;;40 c.;;orange (4 retouchées) Réimpression;Typographie. Papier teinté.;No;T01-000-5.jpg
5;j;Poste;1850;1849-1850;;Cérès.;;40 c.;;orange Paire avec un normal Réimpression;Typographie. Papier teinté.;No;T01-000-5.jpg
5;k;Poste;1850;1849-1850;;Cérès.;;40 c.;;orange Paire des 2 retouchés Réimpression;Typographie. Papier teinté.;No;T01-000-5.jpg
6;;Poste;1849;1849-1850;Ceres;Cérès.;1 ₣ - French franc;1 f.;Carmine;carmin foncé;Typographie. Papier teinté.;No;T01-000-6.jpg
6;a;Poste;1849;1849-1850;;Cérès.;;1 f.;;carmin clair;Typographie. Papier teinté.;No;T01-000-6.jpg
6;d;Poste;1849;1849-1850;;Cérès.;;1 f.;;carmin cerise;Typographie. Papier teinté.;No;T01-000-6.jpg
6;e;Poste;1849;1849-1850;;Cérès.;;1 et 1 f.;;carmin Tête-bêche;Typographie. Papier teinté.;No;T01-000-6e.jpg
6;f;Poste;1849;1849-1850;;Cérès.;;1 f.;;carmin Réimpression;Typographie. Papier teinté.;No;T01-000-6.jpg
6;A;Poste;1849;1849-1850;Ceres;Cérès.;1 ₣ - French franc;1 f.;Red Brown;rouge-brun;Typographie. Papier teinté.;No;T01-000-6A.jpg
6;Aa;Poste;1849;1849-1850;;Cérès.;;1 et 1 f.;;rouge-brun (sur lettre) Tête-bêche;Typographie. Papier teinté.;No;T01-000-6A.jpg
6;B;Poste;1849;1849-1850;Ceres;Cérès.;1 ₣ - French franc;1 f.;Carmine brown;carmin brun;Typographie. Papier teinté.;No;T01-000-6B.jpg
6;Bb;Poste;1849;1849-1850;;Cérès.;;1 et 1 f.;;carmin brun Tête-bêche;Typographie. Papier teinté.;No;T01-000-6B.jpg
7;;Poste;1849;1849-1850;Ceres;Cérès.;1 ₣ - French franc;1 f.;Vermilion;vermillon;Typographie. Papier teinté.;No;T01-000-7.jpg
7;a;Poste;1849;1849-1850;;Cérès.;;1 f.;;vermillon vif;Typographie. Papier teinté.;No;T01-000-7.jpg
7;b;Poste;1849;1849-1850;;Cérès.;;1 f.;;vermillon terne;Typographie. Papier teinté.;No;T01-000-7.jpg
7;d;Poste;1849;1849-1850;;Cérès.;;1 et 1 f.;;vermillon vif Tête-bêche;Typographie. Papier teinté.;No;T01-000-7.jpg
7;e;Poste;1849;1849-1850;;Cérès.;;1 et 1 f.;;vermillon terne Tête-bêche;Typographie. Papier teinté.;No;T01-000-7.jpg
7;f;Poste;1849;1849-1850;;Cérès.;;1 et 1 f.;;vermillon pâle Tête-bêche;Non emis. Typographie. Papier teinté.;No;T01-000-7.jpg
7;A;Poste;1850;1849-1850;Ceres;Cérès.;1 ₣ - French franc;1 f.;Vermilion;vermillon pâle (Vervelle);Non emis. Typographie. Papier teinté.;No;T01-000-7A.jpg
8;;Poste;1849;1849-1850;Ceres;Cérès.;20 French centime;20 c.;Blue;bleu s. jaunâtre;Non emis. Typographie. Papier teinté.;No;T01-000-8.jpg
8;a;Poste;1849;1849-1850;;Cérès.;;20 c.;;bleu foncé;Non emis. Typographie. Papier teinté.;No;T01-000-8.jpg
8;b;Poste;1849;1849-1850;;Cérès.;;20 c.;;bleu s. azuré;Non emis. Typographie. Papier teinté.;No;T01-000-8.jpg
8;c;Poste;1849;1849-1850;;Cérès.;;20 et 20 c.;;bleu s. jaunâtre Tête-bêche;Non emis. Typographie. Papier teinté.;No;T01-000-8.jpg
8;d;Poste;1849;1849-1850;;Cérès.;;20 et 20 c.;;bleu foncé Tête-bêche;Non emis. Typographie. Papier teinté.;No;T01-000-8.jpg
8;e;Poste;1849;1849-1850;;Cérès.;;20 et 20 c.;;bleu s. azuré Tête-bêche;Non emis. Typographie. Papier teinté.;No;T01-000-8.jpg
8;f;Poste;1849;1849-1850;;Cérès.;;20 c.;;bleu Réimpression;Typographie. Papier teinté.;No;T01-000-8.jpg
8;A;Poste;1849;1849-1850;Ceres;Cérès.;25 French centime;25 c. sur 20 c.;Blue;bleu;Typographie. Papier teinté. Surchargé en rouge.;No;T01-000-8A.jpg
9;;Poste;1852;1852;Louis Napoléon;Prince-président Louis-Napoléon. Légende REPUB. FRANC. B sous le cou.;10 French centime;10 c.;Yellow bistre;bistre-jaune;Typographie. Papier teinté.;No;T01-000-9.jpg
9;a;Poste;1852;1852;Louis Napoleon (1808-1873);Prince-président Louis-Napoléon. Légende REPUB. FRANC. B sous le cou.;10 French centime;10 c.;Bistre brown;bistre-brun;Typographie. Papier teinté.;No;T01-000-9.jpg
9;b;Poste;1852;1852;;Prince-président Louis-Napoléon. Légende REPUB. FRANC. B sous le cou.;;10 c.;;bistre-jaune Timbre avec lignes d'encadrement.;Typographie. Papier teinté.;No;T01-000-9.jpg
9;c;Poste;1852;1852;;Prince-président Louis-Napoléon. Légende REPUB. FRANC. B sous le cou.;;10 c.;;bistre clair G122 G416 Réimpression (1862).;Typographie. Papier teinté.;No;T01-000-9.jpg
10;;Poste;1852;1852;Louis Napoléon;Prince-président Louis-Napoléon. Légende REPUB. FRANC. B sous le cou.;25 French centime;25 c.;Blue;bleu;Typographie. Papier teinté.;No;T01-000-10.jpg
10;a;Poste;1852;1852;Louis Napoleon (1808-1873);Prince-président Louis-Napoléon. Légende REPUB. FRANC. B sous le cou.;25 French centime;25 c.;Dark blue;bleu foncé;Typographie. Papier teinté.;No;T01-000-10.jpg
10;b;Poste;1852;1852;;Prince-président Louis-Napoléon. Légende REPUB. FRANC. B sous le cou.;;25 c.;;bleu Timbre avec lignes d'encadrement;Typographie. Papier teinté.;No;T01-000-10.jpg
10;c;Poste;1852;1852;;Prince-président Louis-Napoléon. Légende REPUB. FRANC. B sous le cou.;;25 c.;;bleu Réimpression (1862);Typographie. Papier teinté.;No;T01-000-10.jpg
11;;Poste;1860;1853-1860;Emperor Napoleon III;Napoléon III. Prince-président Louis-Napoléon. Légende REPUB. FRANC.;1 French centime;1 c.;Olive green;olive;Typographie. Papier teinté.;No;T01-000-11.jpg
11;a;Poste;1861;1853-1860;Emperor Napoleon III;Napoléon III. Prince-président Louis-Napoléon. Légende REPUB. FRANC.;1 French centime;1 c.;Bronze green;bronze;Typographie. Papier teinté.;No;T01-000-11.jpg
12;;Poste;1854;1853-1860;Emperor Napoleon III;Napoléon III. Prince-président Louis-Napoléon. Légende REPUB. FRANC.;5 French centime;5 c.;Green;vert;Typographie. Papier teinté.;No;T01-000-12.jpg
12;a;Poste;1854;1853-1860;Empereur Napoleon III;Napoléon III. Prince-président Louis-Napoléon. Légende REPUB. FRANC.;5 French centime;5 c.;Yellow green;vert-jaune;Typographie. Papier teinté.;No;T01-000-12.jpg
12;b;Poste;1860;1853-1860;Emperor Napoleon III;Napoléon III. Prince-président Louis-Napoléon. Légende REPUB. FRANC.;5 French centime;5 c.;Dark green;vert foncé;Typographie. Papier teinté.;No;T01-000-12.jpg
12;c;Poste;1860;1853-1860;;Napoléon III. Prince-président Louis-Napoléon. Légende REPUB. FRANC.;;5 c.;;vert foncé sur vert;Typographie. Papier teinté.;No;T01-000-12.jpg
12;d;Poste;1860;1853-1860;;Napoléon III. Prince-président Louis-Napoléon. Légende REPUB. FRANC.;;5 c.;;vert Avec lignes d'encadrement;Typographie. Papier teinté.;No;T01-000-12.jpg
12;e;Poste;1860;1853-1860;;Napoléon III. Prince-président Louis-Napoléon. Légende REPUB. FRANC.;;5 c.;;vert clair. Non émis. (Arts;Typographie. Papier teinté.;No;T01-000-12.jpg
13;A;Poste;1853;1853-1860;Emperor Napoléon III;Napoléon III. Prince-président Louis-Napoléon. Légende REPUB. FRANC.;10 French centime;10 c.;Bistre;bistre (I);Typographie. Papier teinté.;No;T01-000-13A.jpg
13;Aa;Poste;1853;1853-1860;Louis Napoleon (1808-1873);Napoléon III. Prince-président Louis-Napoléon. Légende REPUB. FRANC.;10 French centime;10 c.;Lemon;jaune-citron;Typographie. Papier teinté.;No;T01-000-13A.jpg
13;Ab;Poste;1853;1853-1860;Louis Napoleon (1808-1873);Napoléon III. Prince-président Louis-Napoléon. Légende REPUB. FRANC.;10 French centime;10 c.;Orange brown;bistre-orange;Typographie. Papier teinté.;No;T01-000-13A.jpg
13;Ac;Poste;1853;1853-1860;Louis Napoleon (1808-1873);Napoléon III. Prince-président Louis-Napoléon. Légende REPUB. FRANC.;10 French centime;10 c.;Bistre brown;bistre-brun;Typographie. Papier teinté.;No;T01-000-13A.jpg
13;Ad;Poste;1853;1853-1860;;Napoléon III. Prince-président Louis-Napoléon. Légende REPUB. FRANC.;;10 c.;;bistre (I) avec lignes d'encadrement;Typographie. Papier teinté.;No;T01-000-13A.jpg
13;Ae;Poste;1853;1853-1860;;Napoléon III. Prince-président Louis-Napoléon. Légende REPUB. FRANC.;;10 c.;;bistre-jaune. Non émis. (Arts;Typographie. Papier teinté.;No;T01-000-13A.jpg
13;B;Poste;1860;1853-1860;Emperor Napoleon III;Napoléon III. Prince-président Louis-Napoléon. Légende REPUB. FRANC.;10 French centime;10 c.;Light brown;brun-clair (II);Typographie. Papier teinté.;No;T01-000-13B.jpg
13;Ba;Poste;1861;1853-1860;Emperors;Napoléon III. Prince-président Louis-Napoléon. Légende REPUB. FRANC.;10 French centime;10 c.;Bistre brown;bistre-brun;Typographie. Papier teinté.;No;T01-000-13B.jpg
13;Bb;Poste;1862;1853-1860;Emperors;Napoléon III. Prince-président Louis-Napoléon. Légende REPUB. FRANC.;10 French centime;10 c.;Brown;brun;Typographie. Papier teinté.;No;T01-000-13B.jpg
14;A;Poste;1854;1853-1860;Emperor Napoleon III;Napoléon III. Prince-président Louis-Napoléon. Légende REPUB. FRANC.;20 French centime;20 c.;Blue;bleu (I);Typographie. Papier teinté.;No;T01-000-14A.jpg
14;Aa;Poste;1856;1853-1860;Emperor Napoleon III;Napoléon III. Prince-président Louis-Napoléon. Légende REPUB. FRANC.;20 French centime;20 c.;Dark blue;bleu foncé;Typographie. Papier teinté.;No;T01-000-14A.jpg
14;Ab;Poste;1856;1853-1860;Emperor Napoleon III;Napoléon III. Prince-président Louis-Napoléon. Légende REPUB. FRANC.;20 French centime;20 c.;Black blue;bleu-noir;Typographie. Papier teinté.;No;T01-000-14A.jpg
