"yt";"issued";"title";"value";"color";"type"
1;1850;"Ceres";"10 French centime";"Yellow bistre";"timbre"
"1a";1850;"Ceres";"10 French centime";"Bistre brown";"timbre"
2;1850;"Ceres";"15 French centime";"Green";"timbre"
3;1849;"Ceres";"20 French centime";"Black";"timbre"
"3a";1849;"Cérés";"20 French centime";"Black";"timbre"
"3b";1849;"Ceres";"20 French centime";"Black";"timbre"
4;1850;"Ceres";"25 French centime";"Blue";"timbre"
"4a";1850;"Ceres";"25 French centime";"Dark blue";"timbre"
5;1850;"Ceres";"40 French centime";"Orange";"timbre"
"5a";1850;"Ceres";"40 French centime";"Bright orange";"timbre"
6;1849;"Ceres";"1 ₣ - French franc";"Carmine";"timbre"
"6A";1849;"Ceres";"1 ₣ - French franc";"Red Brown";"timbre"
"6B";1849;"Ceres";"1 ₣ - French franc";"Carmine brown";"timbre"
7;1849;"Ceres";"1 ₣ - French franc";"Vermilion";"timbre"
"7A";1850;"Ceres";"1 ₣ - French franc";"Vermilion";"timbre"
8;1849;"Ceres";"20 French centime";"Blue";"timbre"
"8A";1849;"Ceres";"25 French centime";"Blue";"timbre"
9;1852;"Louis Napoléon";"10 French centime";"Yellow bistre";"timbre"
"9a";1852;"Louis Napoleon (1808-1873)";"10 French centime";"Bistre brown";"timbre"
10;1852;"Louis Napoléon";"25 French centime";"Blue";"timbre"
"10a";1852;"Louis Napoleon (1808-1873)";"25 French centime";"Dark blue";"timbre"
11;1860;"Emperor Napoleon III";"1 French centime";"Olive green";"timbre"
"11a";1861;"Emperor Napoleon III";"1 French centime";"Bronze green";"timbre"
12;1854;"Emperor Napoleon III";"5 French centime";"Green";"timbre"
"12a";1854;"Empereur Napoleon III";"5 French centime";"Yellow green";"timbre"
"12b";1860;"Emperor Napoleon III";"5 French centime";"Dark green";"timbre"
"13A";1853;"Emperor Napoléon III";"10 French centime";"Bistre";"timbre"
"13Aa";1853;"Louis Napoleon (1808-1873)";"10 French centime";"Lemon";"timbre"
"13Ab";1853;"Louis Napoleon (1808-1873)";"10 French centime";"Orange brown";"timbre"
"13Ac";1853;"Louis Napoleon (1808-1873)";"10 French centime";"Bistre brown";"timbre"
"13B";1860;"Emperor Napoleon III";"10 French centime";"Light brown";"timbre"
"13Ba";1861;"Emperors";"10 French centime";"Bistre brown";"timbre"
"13Bb";1862;"Emperors";"10 French centime";"Brown";"timbre"
"14A";1854;"Emperor Napoleon III";"20 French centime";"Blue";"timbre"
"14Aa";1856;"Emperor Napoleon III";"20 French centime";"Dark blue";"timbre"
"14Ab";1856;"Emperor Napoleon III";"20 French centime";"Black blue";"timbre"
"14Ac";1858;"Emperor Napoleon III";"20 French centime";"Blue";"timbre"
"14B";1860;"Emperor Napoleon III";"20 French centime";"Blue";"timbre"
15;1853;"Emperor Napoleon III";"25 French centime";"Blue";"timbre"
16;1853;"Emperor Napoleon III";"40 French centime";"Orange";"timbre"
"16a";1853;"Louis Napoleon (1808-1873)";"40 French centime";"Bright orange";"timbre"
"16b";1861;"Louis Napoleon (1808-1873)";"40 French centime";"Orange";"timbre"
"17A";1854;"Louis Napoleon (1808-1873)";"80 French centime";"Carmine";"timbre"
"17Aa";1854;"Louis Napoleon (1808-1873)";"80 French centime";"Light carmine";"timbre"
"17Ad";1856;"Louis Napoleon (1808-1873)";"80 French centime";"Vermilion";"timbre"
"17B";1859;"Louis Napoleon (1808-1873)";"80 French centime";"Rose";"timbre"
18;1853;"Emperor Napoléon III";"1 ₣ - French franc";"Carmine";"timbre"
19;1862;"Emperor Napoléon III";"1 French centime";"Olive";"timbre"
"19a";1862;"Louis Napoleon (1808-1873)";"1 French centime";"Bronze";"timbre"
